review_id,movie_code,reviewer_name,status,points
1,0,John Doe,user,8.0
2,0,Jane Doe,critic,9.0
3,1,Bob Smith,user,9.5
4,1,Alice Johnson,critic,8.0
5,1,Charlie Brown,critic,7.5
6,2,John Smith,user,10.0
7,2,Alice Smith,critic,9.5
8,2,Charlie Smith,critic,8.5
9,3,John Johnson,user,9.0
10,3,Jane Johnson,critic,8.0
11,3,Bob Doe,critic,7.5
12,4,Bob Brown,user,9.5
13,4,Alice Brown,critic,9.0
14,5,Charlie Johnson,user,10.0
15,5,John Brown,critic,8.5
16,6,Alice Doe,critic,9.5
17,6,Bob Brown,critic,8.5
18,7,John Brown,user,8.0
19,8,Bob Doe,critic,7.0
20,9,Alice Brown,user,9.0
21,9,Charlie Johnson,critic,8.0
22,9,John Doe,critic,9.5
23,9,Jane Doe,user,8.5
24,10,Alice Brown,user,9.0
25,10,John Brown,critic,8.5
26,10,Bob Doe,critic,7.0
27,11,Charlie Johnson,user,9.5
28,11,Alice Doe,critic,9.0
29,11,John Doe,critic,8.0
30,12,Bob Brown,user,8.5
31,12,Alice Brown,critic,7.5
32,12,Charlie Johnson,critic,9.0
33,13,John Brown,user,9.5
34,13,Jane Brown,critic,8.5
35,13,Bob Brown,critic,8.0
36,14,Alice Johnson,user,7
